Date,Time,Weather,Road_Condition,Time_of_Day,Traffic,Accident_Type,Vehicle_Type,Accident_Reason,Latitude,Longitude,Severity
03-05-2025,22:04:28,Rain,Moderate,Evening,High,Other,Car,Distracted Driving,40.79440953,-74.12472224,Medium
23-07-2025,21:19:37,Clear,Good,Evening,Low,Rear-end,Car,Distracted Driving,40.89689133,-73.99710411,Low
12-05-2025,22:12:46,Rain,Good,Evening,Medium,Rollover,Car,Speeding,40.68226671,-73.84623467,High
08-06-2025,13:02:36,Clear,Good,Afternoon,Low,Rear-end,Car,Distracted Driving,40.74650175,-73.9524774,Low
07-03-2025,16:18:39,Snow,Good,Afternoon,Low,Other,Truck,Speeding,40.80344805,-73.85173508,Low
03-06-2025,18:10:04,Snow,Poor,Afternoon,Low,Rollover,Motorcycle,Running Red Light,40.76688366,-73.94672289,High
04-08-2025,10:02:03,Clear,Moderate,Morning,Low,Rear-end,Motorcycle,Mechanical Failure,40.66803057,-73.89920756,Low
18-06-2025,14:07:59,Clear,Good,Afternoon,Medium,Rear-end,Car,Speeding,40.90040233,-74.00898137,Low
03-03-2025,17:25:52,Snow,Moderate,Afternoon,Medium,Rear-end,Bicycle,Weather,40.89655203,-73.99426711,Low
25-02-2025,10:44:51,Clear,Good,Morning,Jam,Head-on,Car,Running Red Light,40.57503274,-73.85451774,Medium
04-03-2025,08:09:19,Clear,Moderate,Morning,Medium,Rear-end,Car,Speeding,40.88955258,-73.79659102,Low
03-08-2025,12:09:00,Clear,Good,Morning,Medium,Other,Car,Alcohol,40.63101599,-73.8857977,Low
03-05-2025,18:53:10,Clear,Moderate,Afternoon,Medium,Rear-end,Motorcycle,Distracted Driving,40.83769234,-73.75912915,Low
06-01-2025,16:27:14,Rain,Good,Afternoon,Low,Side,Truck,Speeding,40.89673305,-74.14852269,Low
07-06-2025,19:34:02,Clear,Good,Evening,Low,Rear-end,Car,Weather,40.79323391,-73.80341392,Low
01-05-2025,14:59:18,Clear,Good,Afternoon,Low,Rollover,Bus,Other,40.65927661,-73.81444992,Medium
18-05-2025,05:53:29,Clear,Poor,Night,High,Rollover,Car,Weather,40.60610182,-73.71704944,High
01-06-2025,22:11:03,Snow,Good,Evening,Medium,Side,Truck,Weather,40.64036586,-73.97586204,Medium
19-07-2025,23:40:06,Clear,Good,Evening,Medium,Side,Motorcycle,Weather,40.88529039,-73.70102371,Low
07-06-2025,23:48:41,Rain,Poor,Evening,High,Rollover,Motorcycle,Mechanical Failure,40.7445954,-73.86287521,High
17-04-2025,12:35:39,Rain,Moderate,Morning,High,Other,Car,Alcohol,40.85667887,-74.03443183,Medium
14-02-2025,12:11:14,Clear,Poor,Morning,Medium,Rear-end,Car,Speeding,40.71810829,-73.93468851,Low
01-06-2025,11:31:51,Clear,Moderate,Morning,Low,Side,Car,Distracted Driving,40.72927382,-73.73018159,Low
22-04-2025,09:00:23,Clear,Moderate,Morning,Medium,Head-on,Bus,Alcohol,40.73510999,-73.85284731,Medium
04-06-2025,23:00:09,Rain,Good,Evening,Low,Other,Bicycle,Alcohol,40.70411292,-74.05868357,Medium
31-07-2025,13:02:30,Clear,Moderate,Afternoon,Low,Rollover,Car,Distracted Driving,40.73145634,-73.73330826,Medium
13-03-2025,05:52:59,Clear,Poor,Night,Low,Head-on,Truck,Mechanical Failure,40.65452398,-74.14449424,High
03-05-2025,15:11:51,Snow,Moderate,Afternoon,Medium,Rear-end,Car,Distracted Driving,40.63131285,-73.85952829,Low
19-07-2025,09:35:46,Clear,Good,Morning,Medium,Rollover,Car,Alcohol,40.58734298,-74.04870642,Medium
01-07-2025,20:40:15,Clear,Good,Evening,Medium,Side,Car,Distracted Driving,40.78141673,-73.72687249,Low
03-06-2025,17:23:08,Rain,Poor,Afternoon,Low,Head-on,Bus,Mechanical Failure,40.76020225,-73.77603887,High
18-06-2025,23:45:19,Rain,Good,Evening,Low,Rear-end,Motorcycle,Distracted Driving,40.84747785,-73.7051812,Medium
14-03-2025,09:23:17,Fog,Poor,Morning,High,Other,Truck,Distracted Driving,40.64450038,-73.80822523,Medium
26-03-2025,18:26:28,Clear,Moderate,Afternoon,High,Rollover,Car,Speeding,40.56891356,-73.71883063,Medium
05-02-2025,21:16:21,Clear,Poor,Evening,Low,Rear-end,Truck,Alcohol,40.73491526,-73.97034056,Medium
21-01-2025,20:41:06,Clear,Poor,Evening,Medium,Head-on,Truck,Weather,40.5999258,-73.7173025,High
18-08-2025,19:56:57,Clear,Moderate,Evening,High,Head-on,Truck,Other,40.7327302,-74.04746162,High
11-04-2025,17:53:54,Clear,Moderate,Afternoon,High,Rollover,Car,Speeding,40.7651586,-73.7114807,Medium
14-08-2025,07:30:00,Clear,Moderate,Morning,Medium,Rear-end,Pedestrian,Distracted Driving,40.89169822,-73.93654563,Low
17-06-2025,07:35:45,Clear,Good,Morning,Low,Head-on,Truck,Other,40.76817055,-74.09271489,Medium
13-06-2025,21:45:20,Clear,Good,Evening,Low,Head-on,Car,Distracted Driving,40.90593943,-73.95390426,Medium
01-01-2025,08:15:25,Clear,Good,Morning,Medium,Rollover,Bicycle,Mechanical Failure,40.62652768,-73.93322766,Medium
18-05-2025,10:00:47,Fog,Good,Morning,High,Rollover,Car,Distracted Driving,40.56385882,-74.05968431,High
14-05-2025,08:18:42,Clear,Poor,Morning,Jam,Rear-end,Truck,Distracted Driving,40.73043747,-74.04166394,Medium
29-01-2025,13:44:25,Rain,Moderate,Afternoon,Low,Other,Car,Other,40.62205613,-74.03154329,Low
27-05-2025,02:24:21,Clear,Moderate,Night,High,Head-on,Motorcycle,Alcohol,40.72437761,-74.05712009,High
28-05-2025,05:54:54,Clear,Moderate,Night,High,Side,Motorcycle,Speeding,40.79200384,-73.75807291,Medium
02-04-2025,11:57:57,Clear,Moderate,Morning,High,Other,Car,Alcohol,40.73591159,-73.98281897,Low
11-08-2025,18:49:54,Clear,Moderate,Afternoon,Medium,Rear-end,Motorcycle,Distracted Driving,40.63483915,-73.84301942,Low
24-08-2025,18:53:40,Clear,Good,Afternoon,High,Side,Car,Distracted Driving,40.8183147,-73.89178391,Low
17-05-2025,08:05:34,Rain,Good,Morning,Low,Side,Car,Distracted Driving,40.64984337,-73.88255415,Low
17-02-2025,05:10:41,Clear,Poor,Night,Medium,Side,Car,Speeding,40.81533359,-73.74689405,Medium
04-01-2025,07:53:55,Rain,Good,Morning,Medium,Rollover,Car,Speeding,40.61470737,-74.12620643,Medium
09-04-2025,18:51:18,Clear,Good,Afternoon,Low,Rear-end,Motorcycle,Weather,40.81592233,-73.85673798,Low
26-08-2025,19:24:33,Clear,Good,Evening,Low,Head-on,Car,Distracted Driving,40.7368952,-74.11075532,Medium
16-07-2025,14:22:40,Snow,Good,Afternoon,Low,Head-on,Motorcycle,Running Red Light,40.75911352,-73.98713111,Medium
09-01-2025,12:59:14,Clear,Moderate,Morning,High,Head-on,Truck,Distracted Driving,40.62886365,-74.10981899,Medium
02-01-2025,07:38:56,Clear,Good,Morning,Medium,Rollover,Motorcycle,Distracted Driving,40.81267283,-73.74170998,Medium
05-02-2025,03:38:19,Clear,Good,Night,Low,Other,Car,Distracted Driving,40.74537121,-73.87096377,Low
20-01-2025,03:39:13,Clear,Poor,Night,Low,Side,Truck,Alcohol,40.86958502,-73.75842899,Medium
02-08-2025,09:56:49,Snow,Good,Morning,Jam,Rollover,Car,Speeding,40.67900967,-74.13306606,High
14-02-2025,21:06:30,Clear,Moderate,Evening,Medium,Side,Car,Running Red Light,40.61052438,-73.72096667,Low
18-02-2025,01:21:32,Clear,Moderate,Night,Medium,Other,Truck,Weather,40.5591534,-73.7588969,Low
21-02-2025,04:34:48,Clear,Moderate,Night,Medium,Head-on,Car,Distracted Driving,40.56802322,-73.91284821,Medium
10-03-2025,04:11:38,Rain,Moderate,Night,Medium,Rollover,Bicycle,Distracted Driving,40.58605876,-73.70093543,High
14-08-2025,08:44:21,Clear,Moderate,Morning,Low,Other,Car,Distracted Driving,40.80717778,-73.75348545,Low
27-07-2025,20:21:43,Clear,Good,Evening,Low,Side,Motorcycle,Distracted Driving,40.89608654,-74.12257456,Low
26-06-2025,06:53:04,Clear,Good,Night,High,Side,Motorcycle,Weather,40.62706371,-73.98311195,Medium
07-03-2025,07:02:59,Clear,Good,Morning,High,Other,Bus,Mechanical Failure,40.9163403,-74.07600504,Low
11-01-2025,02:05:35,Rain,Moderate,Night,Jam,Other,Motorcycle,Weather,40.84688046,-74.12873426,Medium
22-04-2025,13:39:24,Clear,Good,Afternoon,Medium,Other,Motorcycle,Running Red Light,40.63595842,-73.85832286,Low
28-04-2025,16:13:27,Clear,Good,Afternoon,Low,Rear-end,Car,Distracted Driving,40.61594081,-73.72971293,Low
23-02-2025,01:18:17,Clear,Good,Night,Low,Rollover,Motorcycle,Alcohol,40.87451245,-73.92239197,Medium
18-02-2025,20:48:22,Clear,Moderate,Evening,Medium,Other,Truck,Distracted Driving,40.80437088,-73.7932764,Low
31-01-2025,09:45:44,Rain,Moderate,Morning,Medium,Side,Pedestrian,Alcohol,40.6072069,-74.12010286,Low
31-03-2025,14:10:16,Rain,Good,Afternoon,Medium,Rollover,Car,Distracted Driving,40.55637337,-73.95382929,Medium
08-07-2025,05:44:42,Clear,Poor,Night,High,Other,Car,Weather,40.66082527,-73.94389297,Medium
20-07-2025,16:37:17,Fog,Construction,Afternoon,Low,Rear-end,Truck,Speeding,40.89976096,-73.79632965,Medium
27-01-2025,22:18:49,Clear,Poor,Evening,Medium,Rear-end,Truck,Running Red Light,40.72479641,-74.00478266,Medium
31-01-2025,10:45:08,Rain,Moderate,Morning,Medium,Side,Motorcycle,Speeding,40.75439916,-73.7101483,Low
03-07-2025,05:16:00,Snow,Good,Night,Medium,Rollover,Motorcycle,Distracted Driving,40.65524264,-74.08101124,High
13-08-2025,10:30:51,Snow,Good,Morning,Low,Rollover,Motorcycle,Distracted Driving,40.87565933,-73.77958974,Medium
17-08-2025,01:23:15,Clear,Good,Night,Low,Other,Truck,Mechanical Failure,40.66271377,-73.94964938,Low
24-07-2025,01:45:57,Rain,Good,Night,Medium,Side,Car,Weather,40.62777593,-73.9037139,Medium
11-01-2025,23:07:52,Clear,Moderate,Evening,Medium,Side,Bicycle,Alcohol,40.65224728,-73.89800319,Low
21-04-2025,06:10:21,Rain,Poor,Night,High,Rollover,Car,Distracted Driving,40.80283297,-73.90991433,High
15-07-2025,23:18:28,Snow,Moderate,Evening,Medium,Head-on,Truck,Mechanical Failure,40.84017139,-73.80071361,High
06-03-2025,03:35:11,Rain,Moderate,Night,Medium,Rear-end,Car,Running Red Light,40.77993767,-74.01522243,Medium
10-07-2025,10:57:22,Rain,Poor,Morning,High,Rollover,Pedestrian,Distracted Driving,40.60759124,-74.00743151,High
09-06-2025,23:32:36,Rain,Poor,Evening,High,Head-on,Motorcycle,Running Red Light,40.70598608,-73.75628032,High
14-05-2025,16:58:11,Clear,Construction,Afternoon,Medium,Other,Truck,Distracted Driving,40.63215225,-73.89974153,Low
13-08-2025,07:55:00,Rain,Moderate,Morning,High,Rear-end,Car,Distracted Driving,40.73523506,-73.92412744,Medium
05-06-2025,11:38:39,Clear,Good,Morning,Medium,Head-on,Motorcycle,Distracted Driving,40.77189371,-74.11016606,Medium
17-02-2025,13:24:30,Rain,Good,Afternoon,High,Rollover,Truck,Distracted Driving,40.88369603,-73.88435035,High
27-08-2025,08:27:42,Rain,Moderate,Morning,Medium,Rollover,Motorcycle,Weather,40.60809089,-73.72992897,Medium
07-01-2025,05:26:17,Clear,Good,Night,High,Rear-end,Motorcycle,Distracted Driving,40.63795022,-73.96795294,Medium
18-08-2025,23:16:51,Clear,Good,Evening,Medium,Other,Motorcycle,Alcohol,40.7396277,-74.08522494,Low
28-08-2025,12:15:49,Clear,Good,Morning,Low,Rear-end,Car,Distracted Driving,40.66779335,-73.91851849,Low
31-01-2025,19:39:21,Clear,Good,Evening,Medium,Rear-end,Car,Other,40.69127916,-74.09642465,Low
08-02-2025,01:04:53,Clear,Good,Night,Medium,Other,Pedestrian,Distracted Driving,40.87565086,-74.07627665,Low
16-05-2025,05:41:35,Clear,Good,Night,High,Rear-end,Car,Alcohol,40.62102415,-73.9217944,Medium
19-06-2025,19:36:23,Clear,Poor,Evening,High,Rollover,Car,Speeding,40.61104347,-73.83408054,High
26-08-2025,19:46:27,Rain,Moderate,Evening,Low,Side,Car,Speeding,40.87895087,-73.75759602,Medium
03-01-2025,00:40:11,Clear,Moderate,Night,Medium,Side,Car,Distracted Driving,40.63214179,-74.10261346,Low
14-04-2025,17:07:00,Snow,Poor,Afternoon,Medium,Side,Truck,Running Red Light,40.57724218,-74.03380261,Medium
09-07-2025,23:15:28,Rain,Good,Evening,Medium,Other,Bicycle,Speeding,40.6475484,-74.13128177,Medium
11-03-2025,23:51:51,Clear,Construction,Evening,High,Side,Motorcycle,Distracted Driving,40.75504632,-74.12577288,Medium
28-01-2025,06:57:01,Clear,Moderate,Night,Medium,Rollover,Car,Distracted Driving,40.85694393,-74.08349132,Medium
03-07-2025,11:01:12,Snow,Good,Morning,Medium,Other,Car,Weather,40.89687177,-74.14137219,Low
15-05-2025,15:48:14,Clear,Poor,Afternoon,Medium,Head-on,Car,Distracted Driving,40.73738929,-73.79002424,Medium
04-03-2025,14:25:53,Rain,Moderate,Afternoon,Medium,Other,Motorcycle,Distracted Driving,40.63065156,-73.93139873,Low
08-01-2025,12:19:10,Fog,Moderate,Morning,Medium,Side,Motorcycle,Other,40.62283121,-73.82461698,Low
06-08-2025,10:22:56,Rain,Good,Morning,Low,Other,Car,Distracted Driving,40.72431028,-74.01883291,Low
31-01-2025,23:28:37,Clear,Moderate,Evening,Medium,Other,Car,Running Red Light,40.59863942,-73.91948567,Low
19-05-2025,18:53:43,Rain,Moderate,Afternoon,High,Rear-end,Motorcycle,Distracted Driving,40.65634147,-73.76651426,Medium
21-08-2025,03:39:48,Clear,Poor,Night,Jam,Other,Car,Distracted Driving,40.73621239,-74.12992052,Medium
20-03-2025,05:53:23,Clear,Good,Night,Medium,Head-on,Motorcycle,Distracted Driving,40.6096252,-74.0340453,Medium
30-07-2025,16:46:53,Clear,Moderate,Afternoon,High,Side,Car,Other,40.67023403,-73.97721412,Low
13-08-2025,04:39:33,Rain,Good,Night,Medium,Rear-end,Car,Speeding,40.64778229,-74.01908167,Medium
22-05-2025,14:11:34,Rain,Poor,Afternoon,High,Rollover,Bus,Alcohol,40.76069701,-73.97928322,High
10-08-2025,06:54:11,Clear,Construction,Night,Medium,Rear-end,Car,Mechanical Failure,40.62639242,-74.02092215,Medium
22-03-2025,02:46:23,Clear,Moderate,Night,Medium,Rear-end,Car,Other,40.66173357,-74.08047747,Low
28-04-2025,23:10:57,Rain,Good,Evening,Low,Other,Car,Speeding,40.573515,-73.72520397,Medium
06-07-2025,14:06:53,Clear,Good,Afternoon,High,Head-on,Car,Speeding,40.78586425,-74.03536868,Medium
16-04-2025,02:25:45,Rain,Good,Night,Low,Rear-end,Motorcycle,Mechanical Failure,40.71029563,-73.94427328,Medium
10-04-2025,07:00:45,Clear,Poor,Morning,Low,Side,Bicycle,Distracted Driving,40.78203833,-73.97027463,Low
07-03-2025,17:46:20,Clear,Good,Afternoon,Medium,Rear-end,Car,Distracted Driving,40.67521381,-74.12113185,Low
14-04-2025,17:27:29,Rain,Good,Afternoon,High,Other,Truck,Weather,40.75552274,-73.9289926,Medium
11-07-2025,10:51:11,Rain,Good,Morning,Low,Side,Truck,Running Red Light,40.61166229,-73.90342857,Low
04-03-2025,16:39:35,Clear,Poor,Afternoon,Medium,Side,Car,Weather,40.87343501,-73.75967069,Low
07-02-2025,01:17:53,Rain,Good,Night,High,Rollover,Motorcycle,Weather,40.70013038,-74.14218082,High
28-03-2025,09:38:26,Fog,Poor,Morning,Low,Other,Car,Distracted Driving,40.77601225,-73.76125022,Medium
03-07-2025,11:01:38,Clear,Poor,Morning,Medium,Rollover,Motorcycle,Speeding,40.85057251,-73.7319005,Medium
28-07-2025,08:50:27,Clear,Good,Morning,Medium,Rear-end,Motorcycle,Mechanical Failure,40.56306715,-73.93596371,Low
13-01-2025,17:42:47,Clear,Good,Afternoon,Medium,Rollover,Car,Speeding,40.76842419,-73.87735634,Medium
29-05-2025,05:45:31,Clear,Moderate,Night,High,Side,Truck,Weather,40.76747386,-74.07772091,Medium
